ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229829,HY416952,09/09/2015 04:45:00 PM,076XX S EAST END AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0414,004,8,43,03,1188862,1854623,2015,02/10/2018 03:50:01 PM,41.756147908,-87.583423837,"(41.756147908, -87.583423837)"
10329070,HY519798,11/27/2015 05:05:00 AM,006XX W WELLINGTON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1934,019,44,6,03,1171381,1920193,2015,02/10/2018 03:50:01 PM,41.936477805,-87.645563152,"(41.936477805, -87.645563152)"
11032112,JA364633,10/01/2012 12:00:00 AM,002XX W WASHINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0122,001,42,32,11,,,2012,07/27/2017 03:50:07 PM,,,
10131376,HY320324,06/27/2015 06:00:00 PM,003XX E KENSINGTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0532,005,9,53,26,1180658,1828256,2015,02/10/2018 03:50:01 PM,41.68398585,-87.614296476,"(41.68398585, -87.614296476)"
10229830,HY417158,07/27/2015 12:01:00 AM,025XX N LOWELL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2524,025,31,20,11,1146958,1916491,2015,02/10/2018 03:50:01 PM,41.926821758,-87.735415804,"(41.926821758, -87.735415804)"
10229831,HY416574,09/09/2015 11:24:00 AM,091XX S STONY ISLAND AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0413,004,8,48,03,1188386,1844764,2015,02/10/2018 03:50:01 PM,41.729105224,-87.585482246,"(41.729105224, -87.585482246)"
10229832,HY417219,09/09/2015 05:30:00 PM,034XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,true,1133,011,24,29,08B,1153595,1894845,2015,02/10/2018 03:50:01 PM,41.867293475,-87.711603991,"(41.867293475, -87.711603991)"
10229833,HY417177,06/15/2015 12:00:00 PM,038XX N OCTAVIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1631,016,38,17,08B,1126725,1924707,2015,02/10/2018 03:50:01 PM,41.949730562,-87.809580141,"(41.949730562, -87.809580141)"
10229834,HY417180,08/24/2015 06:20:00 AM,0000X E LAKE ST,0560,ASSAULT,SIMPLE,STREET,false,false,0111,001,42,32,08A,1176961,1901745,2015,09/17/2015 11:34:46 AM,41.885731064,-87.625615658,"(41.885731064, -87.625615658)"
10229836,HY417126,09/04/2015 04:00:00 AM,075XX W DEVON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1612,016,41,9,07,1125287,1941936,2015,02/10/2018 03:50:01 PM,41.997032798,-87.814482597,"(41.997032798, -87.814482597)"
